243	729
65	52	18
65	230	32
65	223	41
66	206	-5
66	25	39
66	45	45
67	110	43
67	73	-2
67	179	34
68	22	18
68	90	2
68	219	37
69	60	43
69	192	39
69	20	32
70	241	18
70	41	-8
70	81	41
71	104	-8
71	21	24
71	95	38
72	69	42
72	56	30
72	4	31
73	38	20
73	227	32
73	20	26
74	124	14
74	241	28
74	199	14
75	148	33
75	227	26
75	110	11
76	25	19
76	48	-1
76	71	-8
77	140	48
77	225	21
77	224	40
78	167	45
78	187	7
78	26	28
79	71	35
79	1	1
79	226	17
80	42	3
80	29	27
80	37	30
81	15	45
81	63	15
81	148	-4
82	189	15
82	80	25
82	183	47
83	183	6
83	171	-6
83	140	16
84	157	35
84	83	42
84	172	-7
85	74	10
85	192	17
85	181	-6
86	179	41
86	57	-2
86	212	36
87	168	35
87	180	4
87	67	4
88	117	10
88	21	14
88	80	12
89	161	34
89	25	-1
89	18	40
90	119	40
90	146	12
90	126	22
91	72	44
91	166	36
91	59	21
92	91	-7
92	221	22
92	212	27
93	241	7
93	155	26
93	106	7
94	176	43
94	8	44
94	65	-5
95	166	-3
95	59	37
95	72	22
96	78	43
96	217	38
96	63	49
97	6	42
97	152	5
97	188	22
98	145	7
98	160	39
98	29	12
99	112	45
99	74	-8
99	126	7
100	3	32
100	94	41
100	35	16
101	30	21
101	228	37
101	31	-3
102	39	20
102	31	32
102	157	23
103	198	37
103	199	13
103	97	17
104	88	36
104	21	38
104	189	9
105	108	-2
105	42	5
105	43	0
106	32	26
106	145	11
106	86	21
107	183	40
107	112	0
107	179	-5
108	12	45
108	213	37
108	242	8
109	116	49
109	57	24
109	78	32
110	171	30
110	90	19
110	241	9
111	62	-1
111	229	17
111	203	40
112	133	34
112	141	5
112	40	6
113	89	12
113	142	41
113	53	32
114	136	20
114	138	-5
114	177	-6
115	183	32
115	182	47
115	206	43
116	134	23
116	116	-8
116	25	41
117	234	15
117	2	7
117	31	29
118	196	11
118	166	0
118	116	-6
119	85	-9
119	177	43
119	174	49
120	98	32
120	112	1
120	57	45
121	192	35
121	9	47
121	85	27
122	65	31
122	188	-4
122	126	-8
123	114	8
123	90	12
123	51	14
124	185	23
124	72	39
124	166	-6
125	40	19
125	102	4
125	39	10
126	29	16
126	220	49
126	164	5
127	164	-8
127	143	6
127	229	16
128	56	37
128	35	1
128	122	42
129	17	40
129	204	37
129	219	36
130	180	29
130	77	21
130	173	27
131	42	13
131	23	21
131	60	4
132	182	24
132	212	-3
132	201	11
133	241	45
133	26	-7
133	15	9
134	120	20
134	16	18
134	21	18
135	151	36
135	138	4
135	188	-3
136	203	20
136	29	14
136	192	34
137	180	14
137	106	23
137	64	37
138	108	-1
138	164	31
138	162	-4
139	16	-5
139	205	19
139	56	40
140	17	49
140	198	5
140	163	44
141	187	41
141	86	15
141	149	11
142	18	1
142	238	20
142	63	39
143	195	6
143	62	-1
143	55	10
144	156	16
144	173	31
144	62	49
145	131	34
145	195	31
145	167	22
146	102	34
146	195	42
146	161	3
147	133	-5
147	21	-2
147	182	20
148	14	13
148	67	11
148	125	24
149	83	35
149	116	-2
149	53	2
150	69	1
150	106	6
150	44	41
151	200	34
151	228	0
151	98	-1
152	188	41
152	79	36
152	120	42
153	93	11
153	142	13
153	102	29
154	11	16
154	35	25
154	40	24
155	102	48
155	89	22
155	21	21
156	207	11
156	99	37
156	180	18
157	218	1
157	77	5
157	33	-3
158	90	34
158	190	48
158	231	26
159	40	34
159	105	28
159	51	-5
160	14	24
160	111	15
160	151	9
161	104	15
161	146	26
161	230	38
162	5	36
162	35	39
162	166	18
163	25	-9
163	210	33
163	117	21
164	129	39
164	211	11
164	69	44
165	14	20
165	204	-9
165	80	29
166	139	-2
166	177	2
166	170	19
167	147	19
167	49	3
167	101	37
168	34	17
168	173	9
168	143	46
169	80	-2
169	222	-3
169	98	7
170	134	10
170	242	47
170	31	23
171	181	1
171	81	49
171	119	24
172	118	25
172	201	49
172	49	12
173	30	19
173	28	2
173	135	11
174	135	-10
174	136	28
174	27	35
175	117	16
175	178	36
175	139	30
176	147	36
176	85	27
176	215	41
177	212	15
177	191	33
177	58	-1
178	93	43
178	219	26
178	44	21
179	95	27
179	180	40
179	208	43
180	3	-8
180	43	18
180	112	5
181	153	42
181	18	33
181	174	-8
182	180	15
182	178	20
182	102	23
183	221	29
183	53	36
183	55	9
184	66	23
184	94	-6
184	12	-7
185	135	44
185	150	49
185	90	22
186	160	1
186	199	4
186	92	25
187	143	-10
187	105	44
187	229	46
188	122	19
188	234	35
188	174	43
189	137	-5
189	77	26
189	101	5
190	104	34
190	45	35
190	29	16
191	104	19
191	106	22
191	203	28
192	214	22
192	33	24
192	124	40
193	151	-10
193	77	32
193	200	36
194	14	34
194	55	0
194	188	34
195	203	39
195	99	48
195	36	48
196	26	25
196	67	34
196	124	27
197	178	14
197	93	6
197	204	9
198	117	35
198	155	9
198	50	44
199	240	49
199	164	31
199	101	10
200	190	30
200	159	-3
200	236	29
201	83	47
201	48	7
201	73	21
202	190	29
202	20	-9
202	117	-6
203	179	-1
203	149	35
203	203	-6
204	62	46
204	222	-9
204	215	7
205	76	37
205	94	-2
205	71	22
206	124	48
206	70	33
206	76	-5
207	142	45
207	21	2
207	178	23
208	66	17
208	88	11
208	151	49
209	176	38
209	106	-7
209	73	42
210	207	3
210	172	47
210	114	23
211	120	28
211	206	6
211	214	47
212	72	19
212	95	-6
212	127	13
213	72	42
213	114	-6
213	205	48
214	214	24
214	181	26
214	142	-6
215	100	1
215	30	28
215	108	49
216	46	3
216	8	21
216	137	45
217	53	1
217	156	-6
217	117	41
218	238	16
218	145	49
218	187	3
219	42	7
219	86	30
219	119	23
220	152	10
220	224	44
220	225	43
221	12	8
221	85	-10
221	91	30
222	171	40
222	180	32
222	135	-3
223	221	2
223	107	46
223	222	2
224	30	7
224	146	17
224	206	18
225	15	39
225	96	-7
225	172	25
226	188	20
226	20	14
226	236	21
227	16	-5
227	162	42
227	73	29
228	23	28
228	73	21
228	8	16
229	150	31
229	202	-3
229	22	40
230	149	31
230	164	12
230	210	29
231	78	47
231	123	45
231	83	31
232	213	20
232	103	36
232	124	43
233	73	7
233	230	14
233	79	-3
234	165	20
234	79	45
234	235	44
235	79	-10
235	227	48
235	97	30
236	84	25
236	126	5
236	130	38
237	73	33
237	99	1
237	224	35
238	79	43
238	47	-8
238	15	7
239	192	21
239	40	2
239	179	4
240	14	16
240	79	44
240	24	-6
241	188	13
241	11	47
241	68	35
242	55	41
242	64	-1
242	3	26
