729 2916
107 163 -2
107 424 34
107 454 -9
108 551 12
108 121 7
108 236 0
108 170 -6
109 330 39
109 293 -1
109 176 26
109 405 -6
110 281 35
110 613 4
110 634 -1
110 719 -9
111 278 6
111 699 9
111 176 35
111 391 30
112 278 0
112 6 19
112 176 5
112 330 33
113 217 31
113 152 29
113 77 8
113 385 18
114 256 10
114 330 33
114 37 20
114 569 24
115 330 -3
115 580 -8
115 245 17
115 485 22
116 370 -10
116 711 32
116 640 -2
116 364 14
117 32 -9
117 720 28
117 170 -1
117 68 -8
118 485 21
118 482 18
118 634 19
118 578 36
119 358 15
119 358 -5
119 254 11
119 355 22
120 580 -8
120 356 28
120 403 -9
120 51 22
121 548 34
121 537 33
121 217 39
121 74 16
122 649 10
122 121 21
122 124 5
122 389 28
123 244 40
123 152 20
123 79 38
123 720 29
124 531 -6
124 405 14
124 358 -4
124 550 38
125 333 32
125 382 15
125 77 4
125 112 36
126 170 31
126 624 25
126 627 15
126 627 9
127 334 25
127 650 16
127 134 32
127 333 11
128 424 -4
128 376 26
128 394 40
128 288 24
129 481 10
129 187 22
129 395 21
129 368 15
130 578 7
130 255 25
130 106 28
130 236 -1
131 666 20
131 284 40
131 37 -8
131 637 21
132 618 -4
132 557 11
132 325 -6
132 344 -3
133 234 -2
133 212 21
133 616 -5
133 162 -3
134 245 39
134 130 28
134 303 24
134 217 -9
135 342 29
135 147 9
135 330 -5
135 65 21
136 417 37
136 423 -7
136 577 3
136 255 -2
137 629 -10
137 446 38
137 592 7
137 255 38
138 335 25
138 30 37
138 217 40
138 512 39
139 364 23
139 557 25
139 391 13
139 339 6
140 98 17
140 56 5
140 531 33
140 699 6
141 578 26
141 1 32
141 245 16
141 359 1
142 538 38
142 637 13
142 422 -7
142 236 9
143 68 -5
143 24 2
143 728 22
143 601 22
144 640 12
144 495 32
144 540 8
144 288 15
145 368 6
145 403 21
145 171 19
145 20 20
146 170 2
146 37 0
146 703 30
146 640 15
147 424 40
147 253 -8
147 466 6
147 34 4
148 255 26
148 255 7
148 423 25
148 596 3
149 578 12
149 66 30
149 481 33
149 707 34
150 256 29
150 640 13
150 102 20
150 707 -3
151 711 34
151 300 38
151 659 18
151 77 9
152 545 -10
152 328 11
152 353 13
152 5 7
153 672 7
153 255 6
153 250 40
153 594 10
154 476 39
154 192 18
154 420 -3
154 370 4
155 35 29
155 627 36
155 102 32
155 345 30
156 537 10
156 147 28
156 578 14
156 299 3
157 355 36
157 420 39
157 222 18
157 640 39
158 219 9
158 192 -1
158 13 24
158 711 28
159 269 14
159 116 8
159 640 36
159 402 33
160 61 -9
160 514 4
160 370 14
160 197 13
161 345 19
161 214 17
161 634 -1
161 423 2
162 662 12
162 537 18
162 407 28
162 68 37
163 385 35
163 672 33
163 217 -10
163 448 23
164 299 -4
164 250 -10
164 241 1
164 577 40
165 484 -8
165 198 32
165 516 -10
165 43 37
166 520 23
166 466 27
166 526 29
166 256 26
167 62 38
167 389 11
167 77 32
167 632 31
168 219 9
168 591 35
168 689 26
168 237 20
169 140 7
169 135 11
169 469 -10
169 699 9
170 256 -4
170 199 39
170 79 -3
170 659 -8
171 447 -10
171 24 39
171 18 23
171 187 21
172 111 27
172 14 -9
172 696 0
172 255 22
173 486 25
173 74 -6
173 410 11
173 124 36
174 592 7
174 389 17
174 102 5
174 163 1
175 7 -7
175 618 40
175 288 6
175 183 -9
176 133 16
176 604 -6
176 245 -5
176 473 40
177 501 22
177 66 16
177 637 16
177 695 -5
178 469 4
178 662 34
178 548 -1
178 313 12
179 672 38
179 398 9
179 573 40
179 720 -7
180 469 -1
180 523 2
180 566 -5
180 326 13
181 152 30
181 103 12
181 330 3
181 321 39
182 236 40
182 422 36
182 345 6
182 445 -3
183 24 -7
183 362 -5
183 56 -5
183 1 37
184 16 -5
184 574 5
184 198 20
184 618 -8
185 299 -10
185 3 25
185 424 15
185 256 32
186 3 2
186 284 3
186 672 13
186 545 18
187 256 -8
187 74 37
187 191 26
187 230 9
188 421 32
188 13 -3
188 646 12
188 640 22
189 114 8
189 220 9
189 121 13
189 551 11
190 659 6
190 591 30
190 54 10
190 422 -7
191 330 10
191 641 30
191 176 13
191 506 29
192 37 12
192 256 5
192 276 0
192 121 7
193 77 -10
193 342 -8
193 659 10
193 404 29
194 550 22
194 646 37
194 165 40
194 594 27
195 37 40
195 170 28
195 228 -5
195 370 15
196 274 38
196 270 36
196 624 6
196 368 21
197 274 22
197 420 8
197 256 35
197 24 15
198 369 5
198 333 34
198 49 11
198 389 12
199 523 17
199 111 27
199 132 34
199 161 28
200 578 27
200 358 14
200 12 3
200 334 15
201 256 28
201 170 -9
201 325 37
201 557 28
202 227 14
202 369 18
202 50 12
202 725 -7
203 105 15
203 701 32
203 131 14
203 339 39
204 566 30
204 537 5
204 487 24
204 596 -2
205 543 -5
205 365 16
205 422 12
205 72 10
206 358 26
206 485 8
206 67 14
206 133 28
207 667 11
207 664 22
207 495 2
207 569 -1
208 333 36
208 485 8
208 446 6
208 660 40
209 407 32
209 598 37
209 703 -8
209 374 33
210 263 0
210 485 1
210 516 12
210 337 15
211 15 32
211 476 -6
211 700 -2
211 352 32
212 299 5
212 152 -5
212 569 -4
212 55 35
213 457 -1
213 108 38
213 405 -7
213 356 32
214 62 8
214 703 39
214 659 24
214 24 7
215 187 2
215 187 19
215 109 24
215 632 37
216 376 34
216 368 24
216 434 26
216 256 0
217 310 2
217 131 26
217 287 -6
217 112 3
218 591 -8
218 545 29
218 577 16
218 662 2
219 209 18
219 374 -6
219 250 7
219 284 12
220 330 32
220 330 7
220 432 -3
220 591 21
221 586 -1
221 613 40
221 174 -6
221 526 -1
222 176 16
222 176 20
222 664 -3
222 63 1
223 251 -2
223 394 37
223 546 28
223 236 1
224 707 -2
224 650 -6
224 629 14
224 3 26
225 541 -5
225 634 36
225 115 33
225 206 9
226 342 0
226 300 2
226 405 28
226 236 9
227 344 6
227 183 20
227 634 37
227 484 -8
228 544 23
228 133 7
228 352 15
228 711 2
229 273 -4
229 216 20
229 649 5
229 473 22
230 581 22
230 407 0
230 447 -10
230 152 17
231 8 28
231 342 27
231 684 10
231 360 3
232 398 -10
232 66 -4
232 252 11
232 168 27
233 625 28
233 466 24
233 410 39
233 455 -5
234 163 31
234 250 9
234 389 4
234 407 14
235 254 39
235 373 20
235 637 12
235 14 -1
236 134 39
236 176 19
236 580 -2
236 703 9
237 548 -9
237 601 24
237 254 3
237 596 40
238 176 4
238 333 38
238 212 -3
238 707 20
239 531 10
239 407 30
239 713 -8
239 330 -9
240 198 24
240 210 23
240 203 10
240 395 31
241 156 11
241 268 3
241 49 28
241 416 11
242 591 32
242 217 12
242 294 31
242 183 24
243 720 -7
243 122 40
243 250 17
243 130 24
244 707 29
244 394 33
244 352 35
244 647 -2
245 441 36
245 586 10
245 417 8
245 63 12
246 213 34
246 356 -4
246 254 2
246 488 2
247 18 2
247 8 20
247 209 16
247 330 4
248 270 32
248 217 5
248 273 15
248 423 -6
249 56 22
249 240 21
249 147 -1
249 490 20
250 268 1
250 710 24
250 174 33
250 385 1
251 657 24
251 641 14
251 725 -1
251 346 13
252 562 27
252 640 38
252 274 5
252 112 10
253 56 8
253 359 36
253 355 38
253 562 27
254 227 29
254 615 2
254 511 37
254 6 24
255 695 19
255 269 -2
255 707 33
255 640 35
256 330 29
256 144 0
256 611 30
256 621 26
257 251 38
257 586 -3
257 377 18
257 148 32
258 180 16
258 569 38
258 672 -4
258 475 33
259 254 28
259 478 3
259 357 20
259 601 23
260 385 7
260 344 -2
260 321 13
260 40 4
261 699 28
261 134 -9
261 548 -9
261 105 -10
262 362 36
262 24 12
262 650 6
262 133 5
263 551 31
263 369 40
263 247 37
263 176 35
264 178 26
264 715 32
264 550 -10
264 49 13
265 216 6
265 227 0
265 30 22
265 144 18
266 613 40
266 373 14
266 707 17
266 23 31
267 422 -8
267 531 -4
267 300 -7
267 286 7
268 16 9
268 566 0
268 278 -3
268 131 30
269 225 35
269 71 12
269 183 3
269 133 -3
270 278 -8
270 455 11
270 474 -8
270 462 19
271 245 9
271 627 36
271 402 11
271 268 -6
272 155 24
272 299 6
272 539 -4
272 488 39
273 216 23
273 423 19
273 111 38
273 37 -8
274 192 9
274 387 12
274 629 38
274 420 27
275 596 14
275 124 -1
275 455 11
275 12 39
276 299 22
276 251 32
276 580 26
276 709 6
277 578 14
277 578 -3
277 707 34
277 12 28
278 342 0
278 658 22
278 235 -10
278 73 -9
279 584 -2
279 672 36
279 241 3
279 701 -7
280 404 28
280 187 36
280 339 -1
280 111 40
281 336 -9
281 667 38
281 216 9
281 284 6
282 402 -6
282 20 11
282 241 23
282 672 39
283 287 25
283 35 35
283 66 31
283 424 35
284 325 -1
284 268 22
284 0 -2
284 377 1
285 455 36
285 481 22
285 556 6
285 411 37
286 334 10
286 121 38
286 585 11
286 357 -3
287 707 30
287 112 38
287 354 9
287 391 2
288 672 3
288 632 6
288 187 33
288 416 38
289 686 21
289 296 -7
289 531 22
289 144 4
290 163 16
290 516 2
290 196 37
290 174 39
291 192 22
291 251 33
291 637 4
291 327 -9
292 407 10
292 369 27
292 18 39
292 106 7
293 225 -1
293 174 36
293 446 31
293 236 23
294 187 3
294 225 -9
294 667 10
294 368 8
295 511 1
295 629 7
295 284 10
295 364 18
296 213 11
296 537 11
296 288 24
296 445 12
297 634 -5
297 66 -10
297 417 6
297 365 26
298 408 37
298 359 39
298 246 34
298 358 2
299 207 35
299 330 34
299 692 28
299 120 10
300 133 18
300 133 19
300 124 0
300 637 -8
301 577 33
301 206 36
301 106 38
301 176 8
302 543 6
302 253 1
302 492 27
302 144 13
303 330 17
303 330 -4
303 133 -3
303 672 23
304 255 21
304 339 33
304 637 34
304 299 2
305 551 34
305 357 3
305 245 -6
305 230 0
306 299 38
306 637 21
306 484 -4
306 131 18
307 458 7
307 701 33
307 618 24
307 594 29
308 377 30
308 198 -9
308 454 33
308 144 34
309 370 1
309 360 -9
309 629 -6
309 229 39
310 640 18
310 420 0
310 458 -4
310 471 10
311 423 5
311 24 -4
311 206 10
311 615 16
312 300 11
312 77 22
312 486 -5
312 330 30
313 614 22
313 685 12
313 333 6
313 49 14
314 620 16
314 159 1
314 83 32
314 499 7
315 252 33
315 640 15
315 577 -7
315 667 40
316 357 38
316 330 13
316 342 5
316 179 -5
317 112 -10
317 581 6
317 391 29
317 539 11
318 174 39
318 255 -8
318 462 9
318 348 12
319 66 20
319 176 33
319 481 19
319 20 9
320 566 9
320 446 26
320 352 -4
320 163 10
321 407 5
321 342 36
321 486 22
321 725 18
322 407 32
322 659 10
322 167 35
322 403 -2
323 520 32
323 0 25
323 330 36
323 485 16
324 618 37
324 34 19
324 43 33
324 578 -1
325 662 -6
325 720 23
325 352 12
325 634 37
326 241 26
326 434 4
326 581 13
326 124 28
327 447 27
327 373 3
327 351 -9
327 362 31
328 20 -10
328 469 28
328 554 33
328 579 40
329 707 7
329 251 38
329 484 -7
329 269 30
330 678 31
330 390 35
330 345 22
330 342 -7
331 462 38
331 330 7
331 170 29
331 610 34
332 407 19
332 73 38
332 339 0
332 455 10
333 256 6
333 303 26
333 423 27
333 413 4
334 171 13
334 133 23
334 540 19
334 389 -8
335 659 33
335 120 0
335 382 17
335 18 -4
336 481 12
336 370 34
336 668 11
336 152 27
337 256 40
337 591 -7
337 703 16
337 244 13
338 659 23
338 37 39
338 592 8
338 633 -3
339 122 1
339 162 15
339 701 18
339 485 -3
340 407 20
340 407 -8
340 47 -6
340 569 37
341 557 7
341 250 17
341 662 19
341 356 11
342 370 6
342 394 -1
342 531 -10
342 10 30
343 297 -8
343 604 13
343 635 -4
343 106 35
344 422 15
344 616 29
344 591 -3
344 407 -10
345 203 7
345 174 29
345 448 37
345 339 7
346 664 15
346 300 39
346 569 10
346 420 6
347 557 10
347 711 -1
347 35 26
347 112 40
348 275 1
348 713 24
348 394 16
348 474 -8
349 446 19
349 209 10
349 115 29
349 345 -6
350 715 25
350 526 18
350 725 12
350 605 33
351 640 24
351 168 -7
351 330 3
351 511 21
352 238 -9
352 14 -5
352 566 -8
352 5 -8
353 612 26
353 531 -10
353 311 27
353 636 -2
354 490 13
354 254 -9
354 602 12
354 197 13
355 13 18
355 637 -1
355 610 14
355 725 -4
356 54 1
356 66 33
356 385 0
356 174 30
357 169 8
357 108 22
357 382 3
357 287 12
358 537 1
358 236 27
358 256 34
358 345 13
359 469 18
359 313 -3
359 225 29
359 405 6
360 581 -4
360 637 23
360 514 23
360 37 26
361 695 28
361 695 -9
361 407 15
361 360 -6
362 297 8
362 300 20
362 255 27
362 454 15
363 485 18
363 299 11
363 174 5
363 357 17
364 410 8
364 357 -7
364 659 35
364 82 19
365 50 3
365 197 27
365 479 39
365 368 14
366 595 -10
366 34 1
366 310 2
366 482 19
367 23 15
367 602 20
367 166 15
367 516 9
368 667 2
368 209 33
368 407 0
368 284 6
369 284 -10
369 330 13
369 343 37
369 528 -2
370 174 8
370 198 -1
370 197 26
370 169 -4
371 45 31
371 256 24
371 294 23
371 569 -5
372 345 14
372 250 18
372 557 17
372 35 -1
373 6 39
373 385 26
373 21 24
373 637 28
374 256 32
374 176 32
374 410 22
374 616 22
375 420 3
375 174 37
375 576 17
375 23 40
376 300 31
376 68 -8
376 391 -3
376 187 20
377 24 -6
377 268 -3
377 74 35
377 547 28
378 192 0
378 650 13
378 696 40
378 707 31
379 209 -4
379 566 22
379 111 21
379 280 3
380 161 28
380 485 -2
380 200 20
380 501 0
381 166 35
381 570 6
381 176 23
381 344 18
382 187 38
382 695 12
382 345 29
382 474 -9
383 251 20
383 136 10
383 360 1
383 254 32
384 435 11
384 22 9
384 268 39
384 325 21
385 492 -4
385 569 -9
385 660 20
385 591 25
386 257 -8
386 559 26
386 481 -4
386 299 21
387 13 38
387 707 2
387 445 36
387 206 13
388 345 13
388 255 26
388 303 21
388 719 14
389 78 9
389 644 -2
389 437 36
389 394 17
390 187 16
390 605 23
390 614 -8
390 422 39
391 124 -7
391 168 21
391 342 34
391 255 38
392 580 2
392 614 14
392 594 10
392 219 29
393 68 13
393 170 13
393 15 -5
393 410 20
394 531 39
394 56 19
394 133 25
394 49 -2
395 703 9
395 238 -8
395 629 37
395 667 -1
396 37 35
396 352 17
396 345 11
396 358 6
397 374 28
397 67 38
397 170 8
397 20 9
398 485 17
398 403 -9
398 357 22
398 56 2
399 56 -3
399 434 13
399 512 21
399 251 37
400 659 -5
400 198 17
400 469 26
400 582 6
401 144 -2
401 68 -1
401 699 -3
401 330 -7
402 20 38
402 586 1
402 618 14
402 650 6
403 711 -7
403 625 35
403 268 24
403 520 -3
404 256 10
404 495 21
404 591 5
404 480 35
405 408 -9
405 217 39
405 133 34
405 485 39
406 6 17
406 511 10
406 594 0
406 474 -10
407 79 2
407 707 3
407 640 -8
407 395 22
408 206 -7
408 625 13
408 402 40
408 300 15
409 454 18
409 448 27
409 704 29
409 644 30
410 548 -8
410 124 26
410 253 23
410 234 31
411 238 -10
411 551 31
411 707 33
411 688 35
412 492 38
412 557 1
412 640 17
412 6 3
413 637 34
413 88 2
413 490 -6
413 391 -1
414 206 30
414 278 -6
414 395 17
414 407 27
415 18 36
415 77 13
415 242 0
415 15 21
416 385 26
416 562 21
416 270 25
416 254 0
417 449 -3
417 556 18
417 111 18
417 49 37
418 516 28
418 278 10
418 68 20
418 725 30
419 538 38
419 359 10
419 569 1
419 6 34
420 134 40
420 490 1
420 287 3
420 37 5
421 24 -1
421 514 -3
421 132 17
421 244 38
422 358 23
422 407 -5
422 344 -4
422 374 28
423 22 9
423 407 -4
423 299 -4
423 614 29
424 26 35
424 628 16
424 23 18
424 345 -5
425 586 -9
425 501 34
425 55 31
425 187 14
426 270 27
426 274 31
426 281 16
426 516 -7
427 489 8
427 469 -10
427 594 0
427 446 36
428 326 -9
428 407 39
428 410 37
428 385 28
429 549 13
429 550 -10
429 591 7
429 562 12
430 124 -1
430 35 23
430 416 12
430 273 2
431 593 18
431 407 15
431 339 23
431 121 38
432 490 12
432 638 8
432 379 -1
432 360 32
433 502 -1
433 124 37
433 637 35
433 240 27
434 342 -3
434 499 19
434 580 35
434 514 -4
435 163 -6
435 300 39
435 511 -9
435 170 12
436 18 6
436 707 13
436 250 -7
436 531 -5
437 300 2
437 336 5
437 258 24
437 236 27
438 578 12
438 586 38
438 176 35
438 132 -1
439 12 32
439 294 -6
439 170 31
439 474 20
440 330 12
440 133 22
440 37 -9
440 124 -9
441 408 34
441 31 31
441 700 32
441 137 14
442 224 12
442 199 34
442 251 12
442 32 17
443 53 -8
443 358 5
443 68 27
443 168 6
444 635 20
444 605 0
444 77 -8
444 114 16
445 6 9
445 342 27
445 255 27
445 152 13
446 197 7
446 152 13
446 268 13
446 629 38
447 699 11
447 209 19
447 701 18
447 345 38
448 56 15
448 667 21
448 540 -5
448 701 8
449 578 -1
449 614 25
449 298 12
449 574 26
450 396 -4
450 37 -10
450 179 -10
450 275 10
451 557 7
451 580 29
451 283 -5
451 395 17
452 701 37
452 613 23
452 649 6
452 359 -4
453 217 -5
453 520 11
453 466 39
453 422 5
454 217 3
454 700 -5
454 476 10
454 241 28
455 407 30
455 557 22
455 545 22
455 209 34
456 106 6
456 368 8
456 213 6
456 255 25
457 284 23
457 330 12
457 618 1
457 170 1
458 447 40
458 50 14
458 244 37
458 374 25
459 206 14
459 65 -7
459 725 -2
459 531 24
460 300 9
460 586 26
460 667 10
460 12 22
461 108 -8
461 699 -5
461 187 36
461 250 21
462 77 9
462 447 39
462 471 34
462 373 28
463 545 21
463 187 -2
463 291 36
463 549 25
464 439 40
464 667 27
464 632 27
464 484 8
465 360 28
465 297 7
465 199 6
465 695 37
466 580 32
466 225 35
466 79 3
466 203 7
467 382 18
467 268 21
467 370 23
467 339 21
468 333 -10
468 8 -4
468 37 37
468 188 38
469 229 -7
469 659 4
469 170 37
469 176 6
470 438 8
470 385 15
470 640 9
470 268 7
471 62 27
471 481 15
471 236 4
471 248 37
472 422 -5
472 206 21
472 628 31
472 171 14
473 68 26
473 81 31
473 255 9
473 579 39
474 51 11
474 423 16
474 725 26
474 343 38
475 652 33
475 114 22
475 537 11
475 522 40
476 170 23
476 703 -4
476 168 40
476 707 18
477 485 24
477 99 22
477 43 27
477 637 25
478 637 3
478 531 11
478 169 28
478 438 7
479 407 17
479 364 -3
479 522 7
479 394 40
480 273 35
480 398 -2
480 586 7
480 700 -7
481 111 36
481 345 11
481 640 27
481 275 26
482 672 3
482 248 20
482 245 1
482 586 38
483 652 21
483 672 28
483 176 39
483 659 37
484 229 5
484 243 13
484 176 0
484 187 8
485 191 38
485 373 35
485 132 19
485 170 -5
486 545 17
486 79 13
486 341 30
486 106 1
487 245 22
487 484 20
487 65 15
487 124 35
488 454 -9
488 71 33
488 391 18
488 659 34
489 637 32
489 335 10
489 554 -3
489 605 -7
490 106 -10
490 425 2
490 14 8
490 66 22
491 176 39
491 111 -5
491 488 21
491 686 19
492 373 28
492 209 26
492 35 2
492 640 20
493 514 18
493 342 -9
493 592 -6
493 445 -8
494 423 32
494 562 -5
494 466 19
494 24 34
495 12 36
495 469 -4
495 727 28
495 578 15
496 724 18
496 398 -9
496 545 1
496 236 -2
497 720 10
497 531 -7
497 197 33
497 707 -9
498 492 -3
498 637 10
498 187 14
498 436 14
499 354 12
499 605 26
499 287 6
499 634 22
500 499 -8
500 395 35
500 130 11
500 270 -7
501 422 27
501 68 38
501 174 39
501 274 19
502 228 40
502 407 30
502 531 31
502 79 -10
503 372 18
503 10 -4
503 659 38
503 284 -9
504 330 39
504 170 7
504 531 20
504 557 28
505 693 17
505 62 -9
505 342 36
505 368 15
506 579 -6
506 245 -10
506 112 27
506 207 -10
507 649 32
507 6 40
507 339 20
507 133 9
508 569 14
508 479 22
508 284 11
508 531 -10
509 640 27
509 420 8
509 618 17
509 559 39
510 18 38
510 368 28
510 62 27
510 252 17
511 32 28
511 183 1
511 700 -9
511 467 18
512 624 13
512 91 37
512 580 -2
512 578 8
513 531 22
513 550 35
513 613 6
513 336 9
514 394 12
514 167 36
514 362 8
514 443 6
515 637 40
515 398 19
515 613 -5
515 299 12
516 236 5
516 352 33
516 723 32
516 613 -5
517 278 25
517 176 33
517 693 3
517 342 28
518 131 33
518 569 8
518 485 24
518 346 6
519 132 4
519 300 10
519 554 -3
519 598 0
520 147 1
520 254 9
520 566 25
520 447 14
521 554 4
521 65 36
521 362 22
521 466 33
522 251 7
522 209 -2
522 72 14
522 238 25
523 37 -1
523 176 29
523 225 23
523 579 -5
524 88 18
524 32 24
524 255 -8
524 632 8
525 105 13
525 563 20
525 420 30
525 699 36
526 659 -2
526 637 12
526 56 38
526 268 5
527 176 5
527 650 16
527 68 -3
527 242 0
528 370 7
528 370 -4
528 423 25
528 374 4
529 398 6
529 436 39
529 187 -9
529 24 26
530 255 11
530 254 10
530 254 14
530 373 18
531 340 12
531 170 37
531 640 31
531 535 6
532 23 -3
532 511 -6
532 426 17
532 357 2
533 174 12
533 245 -7
533 213 7
533 614 35
534 225 5
534 579 23
534 446 -5
534 187 -2
535 210 -2
535 578 -5
535 250 25
535 253 2
536 340 8
536 198 -3
536 56 3
536 448 4
537 663 33
537 566 -1
537 711 9
537 170 25
538 632 4
538 176 17
538 578 27
538 703 3
539 247 5
539 448 37
539 466 7
539 561 39
540 592 1
540 405 33
540 18 -1
540 174 12
541 24 25
541 637 16
541 14 31
541 531 -8
542 364 15
542 721 1
542 498 11
542 557 21
543 632 -4
543 407 16
543 664 20
543 187 25
544 255 11
544 492 14
544 278 -5
544 187 20
545 385 -8
545 124 9
545 659 21
545 492 20
546 192 -8
546 455 28
546 330 31
546 209 11
547 325 39
547 455 15
547 299 18
547 7 20
548 284 17
548 614 6
548 576 23
548 596 39
549 652 14
549 407 39
549 659 6
549 18 34
550 147 15
550 699 31
550 671 -2
550 502 3
551 16 -3
551 574 -3
551 490 4
551 549 14
552 245 26
552 111 11
552 136 31
552 300 3
553 454 -8
553 662 28
553 360 5
553 520 22
554 647 2
554 18 18
554 368 -7
554 121 -6
555 330 21
555 46 37
555 373 33
555 707 36
556 342 29
556 159 2
556 419 25
556 326 3
557 385 34
557 250 18
557 124 34
557 56 -10
558 198 25
558 458 9
558 229 32
558 16 37
559 217 28
559 334 6
559 387 -4
559 287 -7
560 236 39
560 417 24
560 20 35
560 695 16
561 11 19
561 225 20
561 330 1
561 420 -3
562 405 12
562 325 33
562 39 24
562 283 33
563 37 -10
563 403 -7
563 479 24
563 569 2
564 342 19
